"","time","cod","trel"
"1",126060,4.42999982833862,-0.983333333333333
"2",126120,5.11999988555908,-0.966666666666667
"3",126180,4.94999980926514,-0.95
"4",126240,7.96000003814697,-0.933333333333333
"5",126300,5.05000019073486,-0.916666666666667
"6",126360,4.92000007629395,-0.9
"7",126420,4.09000015258789,-0.883333333333333
"8",126480,3.90000009536743,-0.866666666666667
"9",126540,4.32999992370605,-0.85
"10",126600,4.25,-0.833333333333333
"11",126660,3.79999995231628,-0.816666666666667
"12",126720,4.48000001907349,-0.8
"13",126780,2.79999995231628,-0.783333333333333
"14",126840,0,-0.766666666666667
"15",126900,0,-0.75
"16",126960,0,-0.733333333333333
"17",127020,0,-0.716666666666667
"18",127080,0,-0.7
"19",127140,0,-0.683333333333333
"20",127200,0,-0.666666666666667
"21",127260,0,-0.65
"22",127320,0,-0.633333333333333
"23",127380,0,-0.616666666666667
"24",127440,10.4899997711182,-0.6
"25",127500,23.7900009155273,-0.583333333333333
"26",127560,29.6200008392334,-0.566666666666667
"27",127620,34.3800010681152,-0.55
"28",127680,30.6700000762939,-0.533333333333333
"29",127740,22.4300003051758,-0.516666666666667
"30",127800,18.0400009155273,-0.5
"31",127860,16.4200000762939,-0.483333333333333
"32",127920,16.3099994659424,-0.466666666666667
"33",127980,16.2399997711182,-0.45
"34",128040,17.3299999237061,-0.433333333333333
"35",128100,18.3199996948242,-0.416666666666667
"36",128160,19.2399997711182,-0.4
"37",128220,21.1299991607666,-0.383333333333333
"38",128280,23.1399993896484,-0.366666666666667
"39",128340,24.3199996948242,-0.35
"40",128400,23.7099990844727,-0.333333333333333
"41",128460,21.6499996185303,-0.316666666666667
"42",128520,25.2600002288818,-0.3
"43",128580,27.6399993896484,-0.283333333333333
"44",128640,26.4200000762939,-0.266666666666667
"45",128700,22.8899993896484,-0.25
"46",128760,17.5900001525879,-0.233333333333333
"47",128820,12.3599996566772,-0.216666666666667
"48",128880,7.82000017166138,-0.2
"49",128940,4.6100001335144,-0.183333333333333
"50",129000,3.13000011444092,-0.166666666666667
"51",129060,2.53999996185303,-0.15
"52",129120,1.52999997138977,-0.133333333333333
"53",129180,0,-0.116666666666667
"54",129240,0,-0.1
"55",129300,0,-0.0833333333333333
"56",129360,0,-0.0666666666666667
"57",129420,0,-0.05
"58",129480,0,-0.0333333333333333
"59",129540,0,-0.0166666666666667
"60",129600,0,0
"61",129660,2.24000000953674,0.0166666666666667
"62",129720,0,0.0333333333333333
"63",129780,8.65999984741211,0.05
"64",129840,11.039999961853,0.0666666666666667
"65",129900,14.2399997711182,0.0833333333333333
"66",129960,20.1700000762939,0.1
"67",130020,27.7900009155273,0.116666666666667
"68",130080,36.5900001525879,0.133333333333333
"69",130140,42.8800010681152,0.15
"70",130200,50.8899993896484,0.166666666666667
"71",130260,63.6800003051758,0.183333333333333
"72",130320,83.2399978637695,0.2
"73",130380,97.6699981689453,0.216666666666667
"74",130440,100.559997558594,0.233333333333333
"75",130500,82.5800018310547,0.25
"76",130560,57.8199996948242,0.266666666666667
"77",130620,39.189998626709,0.283333333333333
"78",130680,29.1100006103516,0.3
"79",130740,25.1499996185303,0.316666666666667
"80",130800,25,0.333333333333333
"81",130860,25.8199996948242,0.35
"82",130920,27.0699996948242,0.366666666666667
"83",130980,26.3099994659424,0.383333333333333
"84",131040,25.2900009155273,0.4
"85",131100,24.7800006866455,0.416666666666667
"86",131160,27.3999996185303,0.433333333333333
"87",131220,33.0299987792969,0.45
"88",131280,37.2799987792969,0.466666666666667
"89",131340,37.3899993896484,0.483333333333333
"90",131400,33.3600006103516,0.5
"91",131460,30,0.516666666666667
"92",131520,27.1299991607666,0.533333333333333
"93",131580,24.3600006103516,0.55
"94",131640,22.1299991607666,0.566666666666667
"95",131700,21.0799999237061,0.583333333333333
"96",131760,21.3899993896484,0.6
"97",131820,22.8999996185303,0.616666666666667
"98",131880,25.3400001525879,0.633333333333333
"99",131940,28.3199996948242,0.65
"100",132000,30.6000003814697,0.666666666666667
"101",132060,31.3099994659424,0.683333333333333
"102",132120,30.1599998474121,0.7
"103",132180,28.0300006866455,0.716666666666667
"104",132240,25.9899997711182,0.733333333333333
"105",132300,25.1100006103516,0.75
"106",132360,25.1900005340576,0.766666666666667
"107",132420,25.9099998474121,0.783333333333333
"108",132480,26.8400001525879,0.8
"109",132540,27.4699993133545,0.816666666666667
"110",132600,26.6299991607666,0.833333333333333
"111",132660,24.0100002288818,0.85
"112",132720,20.1599998474121,0.866666666666667
"113",132780,15.6499996185303,0.883333333333333
"114",132840,12.5600004196167,0.9
"115",132900,11.789999961853,0.916666666666667
"116",132960,8.98999977111816,0.933333333333333
"117",133020,11.6300001144409,0.95
"118",133080,22.0799999237061,0.966666666666667
"119",133140,25.7900009155273,0.983333333333333
